Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C5, C6, C9",0402,10,100nF,C392963
"C16, C17, C4, C8",0402,4,1uF,C77009
"C2, C3",0402,2,22pF,C1555
C7,0402,1,10uF,C15525
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9",0603,89,D,C143772
F1,1206,1,Fuse,C70076
J3,GH_Connector,1,Conn_01x08_Socket,C7433459
"R1, R2, R7",0402,3,1k,C11702
"R3, R4",0402,2,"5,1k",C25905
"R5, R6",0402,2,27R,C138021
SW90,SW_SPST_SKQG_WithStem,1,SW_Push,C116647
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,SOT-23-3,1,XC6206PxxxMR,C5446
U3,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U4,SOT-23-6,1,USBLC6-2SC6,C2827654
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24_Small,C9002
